代號,名稱,掛牌最高,掛牌最低
26091,陽明一,170,96.55
26092,陽明二,168,95.5
26093,陽明三,156,99
26094,陽明四,136.9,90
26095,陽明五,315,98.75
26102,華航二,132,99.5
26103,華航三,142.5,93.5
26104,華航四,144.5,91.5
26105,華航五,146.9,98.8
26106,華航六,250,92.1
26107,華航七,167,104
26131,中櫃一,110,100.9
26132,中櫃二,109.5,99
26143,東森三,131.75,86.5
26144,東森四,144.25,82
26161,山隆一,165,96.15
26162,山隆二,162,91
26163,山隆三,171,99.65
26181,長榮航一,206,104.6
26182,長榮航二    ,153,90.5
26183,長榮航三,174,93.35
26184,長榮航四,209,101.05
26185,長榮航五,221,109.2
26301,亞航一,129,97.5
26302,亞航二,390,97
26361,台驊投一,177,97
26362,台驊投二,159,99.7
26363,台驊投控三,115,99.6
26364,台驊投控四,750,106.2
26371,慧洋一KY,125.8,94
26372,慧洋二KY,123,99.35
26373,慧洋三KY,124.6,95.2
26401,大車隊一,121,99.5
26411,正德一,122,100
26412,正德二,121.25,98.05
26413,正德三,110,100.65
26414,正德四,104,93.65
26415,正德五,139.9,90.35
26416,正德六,150,100.7
26417,正德七,115.45,97.2
26418,正德八,119.5,100
27041,國賓一,129,82
27051,六福一,173,92
27071,晶華一,106.95,97
27072,晶華二,111.5,95.4
27241,富驛一,101.8,93.9
27261,雅茗一KY,250,110
27271,王品一,127.5,101.75
27291,瓦城一,112,93
27311,雄獅一,225,92
27312,雄獅二,218,96.8
27321,六角一,197,110
27322,六角二,258,110.55
27323,六角三,133,99.55
27324,六角四,110,103.1
27341,易飛網一,112,100.75
27431,山富一,109.95,101.05
27451,五福一,114.9,105.5
27481,雲品一,217,97
27531,八方雲集一,117,105.5
27532,八方雲集二,116.5,106.5
27551,揚秦一,171,100.3
27561,聯發國際一,139.95,100.5
28121,台中一,113.5,99.7
28381,聯邦一    ,122.5,93
28411,台開一,119,100.6
28471,大眾一    ,147,96
28541,寶來一    ,166,101.5
28551,統證一,109,83.1
28561,元富一,130,82.5
28851,元金一,121.4,99.55
28871,台新一,215,118
28881,新金1A,157,107
28882,新金1B,161,107
28883,新光金二,109.45,98.3
28884,新光金三,138.2,97.6
28885,新光金四,152,99.8
28886,新光金五,125.15,99.75
28887,新光金六,150,98.15
29031,遠百一,114,96.5
29051,三商一,119.3,96.5
29061,高林一,135,97.65
29081,特力二    ,239,187
29082,特力二,222,107
29111,麗嬰一,111,94.2
29131,農林一,167,99.5
29132,農林二,165,91.15
29151,潤全一,113,96.1
29241,東凌一,137,97.4
29242,東凌二KY,105.8,99.5
29243,東凌三KY,113.3,95
29371,集雅社一,121.25,99
30031,健和興一,218,98.8
30032,健和興二,204,97.5
30051,神基一,152,95
30052,神基二,199,95
30061,晶豪科一,264,95.4
30101,華立一,191,119
30102,華立二,105,97
30103,華立三,168,102
30111,今皓一,135,94.4
30112,今皓二,129.4,106.95
30121,廣輝一,115,79.95
30122,廣輝二,118.5,88
30131,晟銘電一,135,100
30132,晟銘電二,135,100
30133,晟銘電三,297,114
30134,晟銘電四,140,99.3
30161,嘉晶一,163,89
30162,嘉晶二,114.85,94.8
30163,嘉晶三,274,103.5
30164,嘉晶四,122.95,95.5
30165,嘉晶五,135.75,92
30171,奇鋐一,115,98.75
30181,同開一,336,103.05
30182,同開二,141.85,90.1
30183,同開三,216,101.5
30184,隆銘綠能四,125,99.65
30191,亞光一,235,115.35
30192,亞光二,157,99.5
30193,亞光三,110.5,96.2
30194,亞光四,110.5,96.1
30201,奇普二,125,90.1
30211,衛道一,112.9,36.9
30221,威達一,157,93
30232,信邦二,119.2,86.1
30233,信邦三,134.5,98
30234,信邦四,129,103
30235,信邦五,197,102.1
30236,信邦六,206,107.5
30237,信邦七,193,113.5
30238,信邦八,134.05,99.5
30241,憶聲一,186,104
30251,星通一,318,100
30261,禾伸一,181,104.6
30262,禾伸二,181,97
30263,禾伸三,114.5,98.2
30271,盛達一,113.5,95
30281,增你強一,118.6,100
30282,增你強二,153,86.5
30283,增你強三,132,85.2
30284,增你強四,154,102
30291,零壹一,174,101
30292,零壹二,154,94
30321,偉訓一,110,87
30322,偉訓二,108,87.2
30331,威健一,131,100
